Accident ID;Date;Time;City;Country;Latitude;Longitude;Weather Condition;Road Condition;Vehicles Involved;Casualties;Cause
79c799b4;23/11/2023;4:45;Toronto; Canada;-57.604.754;96.774.077;Clear;Dry;1;2;Weather Conditions
a7a51595;9/10/2023;22:09;São Paulo; Brazil;75.059.414;-47.637.551;Clear;Icy;4;9;Drunk Driving
a8a2009c;2/11/2024;23:16;New York; USA;51.229.056;-75.637.273;Rain;Dry;5;2;Distracted Driving
3636a884;23/03/2023;3:20;São Paulo; Brazil;13.112.134;-31.058.027;Hail;Wet;3;4;Mechanical Failure
6,63E+19;10/06/2024;22:32;São Paulo; Brazil;-48.913.655;126.656.575;Clear;Wet;4;1;Weather Conditions
2e36c017;10/01/2023;10:52;Tokyo; Japan;3.498.484;-6.684.287;Storm;Gravel;3;1;Distracted Driving
429d6c48;30/04/2023;3:38;Paris; France;-444.737;-10.659.144;Hail;Gravel;5;9;Drunk Driving
0f6b5cf2;10/09/2024;2:34;Berlin; Germany;64.652.617;-8.668.943;Clear;Wet;3;9;Weather Conditions
31f9af12;3/02/2024;2:46;Toronto; Canada;-38.458.259;108.171.227;Fog;Snowy;4;0;Reckless Driving
46157544;5/03/2024;14:11;Sydney; Australia;-73.217.861;-7.482.541;Clear;Gravel;5;7;Mechanical Failure
1a6d97f9;23/07/2024;7:51;Beijing; China;-69.148.333;82.805.151;Storm;Snowy;2;1;Mechanical Failure
b27539e9;8/12/2024;23:16;Beijing; China;-11.639.773;-0.707139;Storm;Snowy;1;10;Drunk Driving
6439f4a5;19/08/2023;12:39;New York; USA;-23.215.682;-143.785.385;Fog;Gravel;2;4;Speeding
f0269bf4;2/06/2023;1:35;Tokyo; Japan;14.222.259;-116.040.797;Rain;Dry;4;5;Mechanical Failure
d819068f;2/05/2024;20:57;Tokyo; Japan;-36.165.204;-158.728.193;Clear;Snowy;4;0;Drunk Driving
2952213d;13/09/2024;8:47;London; UK;-23.851.102;-83.880.256;Storm;Dry;3;10;Drunk Driving
94b9fd88;21/05/2024;19:27;Berlin; Germany;-30.226.696;-120.891.042;Hail;Gravel;4;0;Speeding
b7f698bb;10/12/2023;4:08;Mumbai; India;64.876.949;-153.291.983;Fog;Snowy;4;4;Weather Conditions
2e67509a;14/04/2024;7:12;Paris; France;-85.845.074;64.609.116;Storm;Snowy;5;8;Distracted Driving
6d08c0fd;8/04/2024;19:36;Toronto; Canada;-69.393.109;-158.534.124;Fog;Icy;1;8;Speeding
dddcd331;28/09/2024;5:09;Tokyo; Japan;84.841.953;128.890.834;Rain;Gravel;3;6;Reckless Driving
2d706dbc;8/03/2023;0:00;Berlin; Germany;62.110.225;81.811.964;Rain;Dry;4;10;Distracted Driving
831a095d;6/05/2024;22:53;Berlin; Germany;-40.940.517;99.010.988;Rain;Dry;1;5;Reckless Driving
1952a3e8;10/12/2023;8:58;Tokyo; Japan;66.295.531;95.251.646;Storm;Gravel;3;3;Drunk Driving
30390551;21/05/2023;19:13;Beijing; China;-63.971.125;4.483.565;Snow;Under Construction;1;2;Drunk Driving
66f4c793;26/12/2023;22:15;Mumbai; India;50.593.397;134.724.141;Fog;Icy;5;3;Distracted Driving
c7c55c28;16/10/2023;7:27;Berlin; Germany;-53.339.353;-86.912.386;Snow;Dry;4;4;Reckless Driving
e5d77eb4;28/02/2023;7:43;Tokyo; Japan;50.041.913;95.646.495;Storm;Snowy;3;1;Reckless Driving
8732ffb9;26/03/2024;12:28;Mumbai; India;-88.347.881;39.150.703;Storm;Gravel;1;1;Speeding
720fc733;5/08/2023;5:55;London; UK;66.192.479;16.948.595;Clear;Gravel;2;3;Weather Conditions
08686bba;9/06/2023;22:20;Beijing; China;-26.912.037;-82.529.115;Hail;Snowy;3;4;Drunk Driving
b9afcc1c;25/03/2024;0:02;São Paulo; Brazil;23.298.963;120.286.345;Clear;Icy;5;3;Speeding
7597d8b2;8/06/2024;6:27;Mumbai; India;-3.965.259;120.764.336;Clear;Wet;2;3;Weather Conditions
777b902e;26/10/2024;23:44;Sydney; Australia;-190.285;-154.874.941;Storm;Dry;3;0;Weather Conditions
1e7dcc18;26/08/2023;20:09;Tokyo; Japan;-3.695.383;169.679.891;Snow;Snowy;4;3;Distracted Driving
45d03e76;3/02/2023;19:31;Toronto; Canada;4.666.974;-95.188.172;Rain;Snowy;4;10;Mechanical Failure
111e3c99;22/11/2023;15:44;Mumbai; India;7.734.497;88.665.658;Storm;Dry;4;0;Mechanical Failure
676a8bfc;23/08/2023;18:59;Beijing; China;21.971.032;54.784.953;Hail;Dry;4;2;Mechanical Failure
a027ddc0;8/03/2024;19:26;Toronto; Canada;81.756.635;44.074.187;Rain;Gravel;3;0;Drunk Driving
759f75bb;9/02/2024;1:27;Sydney; Australia;6.034.989;-16.721.245;Rain;Icy;2;7;Drunk Driving
c3283178;20/07/2023;6:30;Berlin; Germany;37.057.764;51.431.359;Snow;Icy;4;1;Speeding
fd3a551c;30/07/2024;21:00;Beijing; China;-56.240.571;-153.664.973;Clear;Icy;3;8;Drunk Driving
212916b5;26/01/2024;6:28;São Paulo; Brazil;5.963.111;3.684.126;Hail;Dry;5;2;Drunk Driving
1d3b839b;14/11/2024;3:31;Toronto; Canada;-43.020.051;-137.309.896;Fog;Dry;5;10;Weather Conditions
457caa87;15/02/2023;7:43;Toronto; Canada;-70.854.037;147.909.701;Snow;Snowy;3;6;Mechanical Failure
edff0e40;30/04/2024;20:38;Beijing; China;-615.213;-91.539.096;Fog;Icy;1;10;Weather Conditions
a89b8f1d;24/03/2023;23:19;Sydney; Australia;61.692.577;17.507.404;Fog;Dry;2;8;Mechanical Failure
3f9678d5;7/09/2023;6:16;Paris; France;21.841.455;4.776.008;Snow;Wet;1;2;Drunk Driving
debf627d;6/04/2023;10:33;Paris; France;-3.945.001;-13.703.749;Fog;Snowy;4;3;Drunk Driving
b3c09909;5/08/2024;4:21;London; UK;16.805.947;68.617.396;Snow;Snowy;3;5;Weather Conditions
3753c48d;25/03/2024;16:13;Paris; France;26.343.396;129.274.649;Snow;Snowy;5;2;Weather Conditions
1,25E+13;23/06/2023;20:35;Toronto; Canada;40.781.614;159.446.535;Clear;Icy;4;8;Mechanical Failure
99e5ae95;30/10/2023;18:50;Sydney; Australia;7.468.069;177.018.501;Fog;Gravel;2;5;Drunk Driving
8e2c3f18;9/06/2024;5:05;Sydney; Australia;-1.547.261;72.524.652;Hail;Dry;1;3;Drunk Driving
76f7a78d;14/03/2023;13:27;São Paulo; Brazil;-27.981.506;174.963.704;Rain;Icy;1;3;Drunk Driving
9dbe0a47;6/06/2024;14:10;Sydney; Australia;-62.571.673;112.725.475;Hail;Wet;4;5;Drunk Driving
dd1c9c0f;30/07/2024;2:51;Paris; France;2.482.164;-76.307.701;Rain;Snowy;4;4;Distracted Driving
51286c6c;2/02/2023;11:26;São Paulo; Brazil;37.059.791;110.134.235;Rain;Snowy;3;2;Weather Conditions
d57a5083;17/12/2024;6:29;Beijing; China;-16.560.558;106.357.364;Fog;Wet;2;6;Distracted Driving
4d437e1f;12/07/2024;1:02;Beijing; China;14.060.318;-98.851.944;Storm;Gravel;5;9;Distracted Driving
33845af0;24/09/2023;3:47;Beijing; China;73.392.785;-118.721.205;Rain;Icy;1;5;Speeding
4481c190;2/04/2024;16:18;London; UK;83.363.727;-159.477.702;Storm;Gravel;1;3;Weather Conditions
33b06baa;27/11/2023;14:21;London; UK;-39.069.235;-4.372.261;Clear;Icy;3;9;Drunk Driving
76946692;11/12/2024;8:28;Tokyo; Japan;-1.956.508;-74.505.019;Snow;Wet;1;2;Distracted Driving
71d378a7;23/12/2024;13:15;Berlin; Germany;0.240265;-158.549.778;Fog;Icy;1;3;Drunk Driving
360f6629;20/09/2023;11:45;Toronto; Canada;-70.623.011;-168.983.626;Rain;Dry;1;1;Drunk Driving
0f18c7fc;12/11/2024;22:12;Paris; France;58.334.672;-32.849.897;Storm;Dry;1;0;Drunk Driving
dd838619;6/09/2023;7:40;Tokyo; Japan;-1.334.924;13.434.066;Fog;Icy;3;5;Reckless Driving
ef4f4316;19/04/2023;22:48;Paris; France;-27.445.267;-28.050.757;Snow;Under Construction;3;5;Reckless Driving
15751d6c;18/06/2024;15:37;Beijing; China;71.310.848;-34.956.545;Snow;Gravel;5;6;Drunk Driving
62949eaa;1/11/2024;0:39;Mumbai; India;-62.986.872;-145.369.834;Rain;Icy;1;5;Mechanical Failure
5c0a41da;28/01/2024;6:17;Beijing; China;3.700.173;57.821.746;Storm;Under Construction;4;4;Drunk Driving
37468264;29/03/2023;0:04;Toronto; Canada;-41.837.187;-56.761.377;Hail;Wet;3;4;Distracted Driving
a98ba994;22/08/2024;2:54;Beijing; China;-74.732.992;-77.367.813;Storm;Dry;3;4;Reckless Driving
01f91534;11/03/2023;14:54;Paris; France;-34.301.162;142.435.444;Storm;Dry;3;8;Weather Conditions
5238df01;9/12/2023;14:05;Beijing; China;38.910.842;-4.950.917;Clear;Icy;3;6;Speeding
fa1c7e14;6/04/2023;12:41;São Paulo; Brazil;1.417.084;-179.535.315;Rain;Under Construction;5;7;Reckless Driving
2110b966;2/04/2023;6:43;Mumbai; India;20.154.497;53.446.617;Rain;Snowy;4;6;Drunk Driving
706db63c;17/06/2024;4:30;New York; USA;40.925.396;-9.466.008;Hail;Wet;2;7;Speeding
cca3fe83;1/10/2023;2:57;Berlin; Germany;2.177.306;4.802.101;Rain;Snowy;3;8;Speeding
3482a68b;11/12/2023;7:33;Paris; France;25.425.638;-152.048.344;Fog;Under Construction;4;4;Distracted Driving
3b1e52c0;20/05/2023;2:04;Sydney; Australia;-63.500.432;-135.659.802;Rain;Dry;5;6;Speeding
4df0a690;19/10/2024;22:29;Tokyo; Japan;8.877.857;-10.367.349;Snow;Wet;2;0;Speeding
f92647a3;21/10/2023;22:10;Beijing; China;78.041.075;37.167.515;Snow;Snowy;4;7;Drunk Driving
5b0ed447;5/06/2023;21:01;Sydney; Australia;44.150.463;-169.278.203;Hail;Gravel;2;3;Drunk Driving
98561611;27/08/2023;16:44;Paris; France;0.353469;108.667.515;Storm;Under Construction;2;1;Speeding
d8be1663;31/10/2023;1:17;Toronto; Canada;-89.419.339;-111.948.805;Storm;Wet;3;10;Drunk Driving
125f32f2;8/12/2024;16:40;Sydney; Australia;58.456.975;-32.309.265;Clear;Snowy;1;4;Distracted Driving
7b24e5e8;8/07/2024;14:52;Toronto; Canada;-25.118.484;151.209.919;Snow;Wet;3;5;Weather Conditions
bec3193e;11/03/2023;20:13;Paris; France;-23.881.912;117.372.118;Rain;Snowy;4;5;Reckless Driving
e1ce7007;23/11/2023;15:44;Beijing; China;-29.728.913;-178.581.267;Snow;Wet;3;9;Drunk Driving
68913454;2/02/2024;22:33;Paris; France;57.939.359;119.426.137;Hail;Dry;3;9;Drunk Driving
ec1c0e26;30/03/2024;12:44;Tokyo; Japan;77.141.109;59.732.198;Fog;Under Construction;2;10;Mechanical Failure
7bb2741b;6/11/2024;18:18;London; UK;-69.185.625;158.708.301;Snow;Gravel;2;8;Speeding
0d24c01f;26/09/2023;11:03;New York; USA;-45.685.113;156.881.942;Snow;Icy;3;6;Reckless Driving
e04f68d0;8/08/2023;17:12;New York; USA;28.660.278;100.701.434;Hail;Dry;2;4;Drunk Driving
d6292be0;15/03/2023;1:09;Tokyo; Japan;77.716.511;163.151.681;Hail;Gravel;1;8;Reckless Driving
28ebfcb2;18/05/2023;16:11;Mumbai; India;55.657.402;32.285.013;Snow;Icy;4;3;Distracted Driving
c8d35193;9/04/2023;11:52;Toronto; Canada;66.065.133;-110.109.738;Clear;Wet;3;0;Distracted Driving
a4371f42;8/05/2024;6:56;São Paulo; Brazil;-8.861.362;-171.448.048;Storm;Snowy;5;7;Reckless Driving
951d945b;20/06/2024;18:30;São Paulo; Brazil;14.411.926;78.821.955;Hail;Wet;3;8;Distracted Driving
4fd5b924;5/09/2023;15:29;Mumbai; India;69.206.307;50.160.545;Rain;Gravel;1;5;Speeding
0af3bb76;12/08/2023;2:07;Paris; France;-12.252.447;-8.230.113;Snow;Snowy;2;3;Mechanical Failure
1,62E+86;20/02/2024;18:16;London; UK;74.579.098;-17.831.458;Fog;Snowy;2;0;Mechanical Failure
db54c41f;25/04/2024;6:02;Mumbai; India;69.685.355;101.666.553;Rain;Wet;5;0;Distracted Driving
49a98b89;27/10/2023;13:25;Berlin; Germany;-29.161.043;108.518.096;Fog;Dry;2;6;Mechanical Failure
05152f85;25/04/2023;14:46;São Paulo; Brazil;59.546.135;-775.578;Clear;Dry;2;6;Drunk Driving
1d2ad15a;27/06/2024;5:58;Tokyo; Japan;-69.530.866;-1.339.104;Fog;Wet;1;5;Reckless Driving
3e8251ff;31/05/2024;13:48;Sydney; Australia;39.621.944;47.037.978;Snow;Wet;4;5;Speeding
9ff3d4e6;7/05/2024;10:03;São Paulo; Brazil;-61.372.664;-175.496.801;Fog;Wet;2;4;Reckless Driving
bbc8527d;12/10/2024;9:04;Mumbai; India;16.413.146;-115.759.293;Rain;Snowy;3;5;Speeding
18facd3d;8/04/2023;11:19;Tokyo; Japan;7.803.019;-105.191.474;Fog;Under Construction;4;3;Weather Conditions
2f16150c;13/11/2024;8:51;Beijing; China;8.139.398;-3.102.351;Fog;Dry;4;5;Distracted Driving
45ce96f8;12/11/2024;23:45;Beijing; China;4.872.228;31.792.181;Storm;Dry;5;6;Reckless Driving
de9c7049;11/09/2023;5:55;Beijing; China;-52.300.599;-28.521.742;Clear;Icy;2;7;Mechanical Failure
756b37fa;14/07/2023;4:21;Berlin; Germany;-85.469.369;-158.466.377;Rain;Dry;5;3;Speeding
ea1449a1;27/04/2024;10:24;Tokyo; Japan;-85.185.758;-144.901.882;Storm;Under Construction;3;5;Distracted Driving
13bd0998;29/03/2023;2:29;New York; USA;31.217.655;22.082.776;Clear;Under Construction;3;10;Speeding
d0b9e7a0;13/06/2023;5:58;New York; USA;36.819.007;-60.574.532;Snow;Dry;2;6;Distracted Driving
4ffebc57;16/06/2024;1:26;New York; USA;-54.776.701;175.402.387;Snow;Wet;5;6;Speeding
021d06bb;16/11/2024;23:37;Tokyo; Japan;37.277.279;-21.825.795;Storm;Icy;5;3;Distracted Driving
fb104569;5/10/2024;2:18;Tokyo; Japan;50.122.724;-134.548.699;Hail;Gravel;2;2;Reckless Driving
6f34de68;28/12/2024;5:18;São Paulo; Brazil;-26.075.729;-2.591.952;Hail;Gravel;5;5;Distracted Driving
c6cfa68e;22/04/2023;12:36;London; UK;-38.130.731;-30.440.774;Clear;Wet;5;8;Speeding
945abdd9;8/09/2024;22:15;New York; USA;60.117.133;90.736.568;Clear;Icy;4;4;Speeding
856971ff;25/09/2023;3:16;Toronto; Canada;-6.956.418;19.766.214;Hail;Gravel;2;4;Mechanical Failure
415e79ab;28/08/2024;23:37;Tokyo; Japan;87.986.834;-101.589.308;Fog;Under Construction;4;9;Weather Conditions
9a144c51;26/05/2024;13:42;Sydney; Australia;53.848.206;-81.703.078;Hail;Dry;3;7;Distracted Driving
23576f42;19/09/2024;16:27;Berlin; Germany;-75.515.338;122.863.602;Snow;Under Construction;3;6;Mechanical Failure
8d40cd5a;21/05/2024;11:35;London; UK;-77.329.668;-21.847.099;Snow;Gravel;1;1;Distracted Driving
4ccf1143;5/06/2023;9:26;Mumbai; India;-74.174.899;-60.250.425;Snow;Icy;2;7;Mechanical Failure
5cd8b47e;13/06/2024;10:23;Mumbai; India;87.127.152;-98.011.454;Snow;Icy;3;3;Weather Conditions
3d95c154;10/12/2024;21:18;Beijing; China;85.341.343;133.962.851;Rain;Wet;1;3;Drunk Driving
fa3147b3;19/03/2023;20:14;Beijing; China;-4.676.821;-13.878.089;Rain;Gravel;3;1;Mechanical Failure
3f0da4c1;29/10/2024;11:40;Paris; France;-22.294.284;73.591.209;Clear;Under Construction;1;10;Weather Conditions
ed33f7fd;30/09/2023;1:27;London; UK;88.558.232;-10.761.443;Hail;Wet;3;3;Speeding
9dfe714a;22/05/2023;6:42;Paris; France;42.328.217;-117.870.802;Fog;Snowy;5;1;Distracted Driving
e62c34e4;18/09/2024;19:32;Berlin; Germany;49.215.967;-173.650.722;Snow;Snowy;4;4;Weather Conditions
2fb0302d;12/05/2024;9:55;Sydney; Australia;35.613.438;-37.727.465;Fog;Snowy;1;9;Mechanical Failure
0ed68ffa;3/10/2023;2:54;Berlin; Germany;56.745.091;-36.107.853;Rain;Snowy;3;8;Mechanical Failure
b7486ad0;28/10/2024;22:31;Tokyo; Japan;55.249.918;19.658.366;Storm;Wet;5;10;Mechanical Failure
908324af;8/11/2024;15:17;Mumbai; India;-39.838.669;17.923.145;Fog;Under Construction;4;2;Reckless Driving
4d4b2f3c;11/06/2023;17:34;Sydney; Australia;-5.725.224;173.536.352;Fog;Under Construction;1;1;Speeding
42711eaf;20/01/2024;3:32;São Paulo; Brazil;40.296.905;-105.880.131;Storm;Under Construction;1;6;Weather Conditions
59214a48;21/01/2024;3:55;Sydney; Australia;2.462.379;1.795.027;Fog;Dry;3;7;Mechanical Failure
46bde395;24/06/2024;9:59;Berlin; Germany;-75.403.224;44.659.821;Clear;Under Construction;3;10;Reckless Driving
2178ed45;17/08/2024;6:31;Mumbai; India;-61.136.341;-105.188.767;Rain;Gravel;4;1;Mechanical Failure
09ee009d;8/03/2023;7:42;Tokyo; Japan;-47.900.929;-114.310.233;Rain;Wet;5;1;Drunk Driving
d9dd2bbb;12/10/2023;17:09;Paris; France;-14.983.528;27.177.903;Snow;Snowy;3;0;Reckless Driving
13f46b13;1/07/2024;21:07;Mumbai; India;87.127.655;-151.830.512;Rain;Under Construction;4;2;Drunk Driving
2182e77b;17/03/2023;3:31;São Paulo; Brazil;62.388.438;11.051.081;Snow;Dry;3;2;Drunk Driving
5dd4b3c9;12/10/2024;5:30;Mumbai; India;-57.704.085;-83.944.787;Storm;Gravel;2;3;Drunk Driving
4a57277a;13/07/2024;17:37;Toronto; Canada;75.662.203;-11.787.092;Rain;Icy;5;5;Drunk Driving
6c8b2e20;8/05/2023;17:39;London; UK;65.675.307;171.711.703;Storm;Under Construction;2;1;Weather Conditions
cfbe1d02;23/06/2024;20:23;Sydney; Australia;64.471.192;-2.144.477;Hail;Under Construction;4;10;Drunk Driving
33b10a36;7/03/2024;13:48;New York; USA;-73.125.773;-160.388.996;Snow;Wet;1;0;Drunk Driving
0270f149;20/08/2024;17:35;Tokyo; Japan;55.542.622;-64.695.625;Storm;Dry;1;10;Speeding
5bd40115;22/11/2023;1:29;Beijing; China;67.089.827;-151.555.389;Hail;Icy;2;9;Weather Conditions
57e35620;24/07/2024;22:40;Berlin; Germany;-3.489.291;3.971.387;Snow;Dry;4;0;Mechanical Failure
929d3e1f;13/02/2024;1:12;Sydney; Australia;55.883.251;-8.900.514;Clear;Under Construction;1;2;Mechanical Failure
7cb3e740;24/02/2024;17:50;Mumbai; India;-1.504.756;61.748.258;Rain;Snowy;2;10;Speeding
4ede8847;4/02/2024;14:56;New York; USA;-23.522.705;132.346.249;Storm;Snowy;1;2;Distracted Driving
a48c3033;5/12/2024;10:12;Sydney; Australia;-40.085.205;125.679.327;Hail;Gravel;3;9;Mechanical Failure
a0797fe2;3/09/2024;13:23;London; UK;-49.154.673;-43.831.837;Clear;Gravel;5;9;Speeding
8ecf206b;29/07/2023;21:01;Mumbai; India;9.013.392;-8.537.205;Fog;Icy;1;7;Speeding
910119a0;27/02/2024;20:27;Beijing; China;2.670.832;-145.687.893;Hail;Wet;1;7;Distracted Driving
4ee1b470;7/07/2023;7:18;New York; USA;77.686.691;139.136.346;Rain;Gravel;1;4;Distracted Driving
76024ef0;3/12/2024;16:31;São Paulo; Brazil;8.550.981;179.368.564;Clear;Gravel;1;10;Drunk Driving
1ae79f6b;17/08/2023;9:26;Beijing; China;1.286.544;-1.355.149;Clear;Wet;4;9;Distracted Driving
598c08d1;4/09/2024;0:39;London; UK;-68.669.989;-175.740.956;Clear;Under Construction;5;3;Drunk Driving
660fafb0;21/03/2023;11:37;Tokyo; Japan;-28.747.398;-60.759.468;Storm;Icy;1;4;Drunk Driving
6,66E+12;3/01/2024;11:16;Toronto; Canada;-62.877.069;150.297.438;Clear;Dry;3;5;Mechanical Failure
8,68E+11;15/05/2024;14:29;Beijing; China;533.632;73.112.943;Snow;Snowy;1;5;Reckless Driving
16f62809;27/08/2023;22:14;Berlin; Germany;-47.585.293;2.666.786;Snow;Dry;1;7;Weather Conditions
79785bdb;13/05/2024;21:31;Paris; France;42.352.233;160.449.053;Clear;Icy;2;7;Speeding
802ec403;16/09/2023;3:23;Tokyo; Japan;69.555.566;16.848.934;Hail;Snowy;1;4;Speeding
8287af0c;23/06/2023;2:21;Mumbai; India;-83.226.585;-99.013.485;Clear;Under Construction;2;7;Weather Conditions
165cd6c1;18/06/2024;14:01;New York; USA;-66.115.806;76.208.146;Rain;Under Construction;1;9;Distracted Driving
f8af0528;22/02/2023;6:11;Paris; France;54.913.847;-38.769.743;Fog;Gravel;4;8;Reckless Driving
6201abc1;15/01/2024;16:44;São Paulo; Brazil;-7.910.495;-92.031.836;Rain;Wet;5;4;Drunk Driving
f27cf5fd;28/10/2024;7:10;Beijing; China;30.447.135;128.481.327;Snow;Gravel;4;4;Distracted Driving
6ed55944;23/07/2023;11:46;Mumbai; India;-39.366.077;113.673.967;Rain;Wet;3;8;Drunk Driving
108ba091;15/02/2024;15:34;Mumbai; India;78.274.286;-46.094.756;Rain;Snowy;3;5;Mechanical Failure
1910c6b7;24/10/2024;5:43;São Paulo; Brazil;-14.315.123;142.979.892;Snow;Gravel;2;2;Weather Conditions
e26be76b;8/02/2023;18:06;Mumbai; India;14.827.592;-45.918.247;Storm;Dry;4;10;Distracted Driving
6b1dbcfa;16/11/2024;22:41;Beijing; China;-3.848.998;-19.565.576;Storm;Under Construction;4;9;Mechanical Failure
c3e9da6f;12/10/2024;21:36;Beijing; China;83.110.094;65.042.887;Hail;Wet;4;8;Drunk Driving
ae9822ec;16/08/2024;7:19;Toronto; Canada;-35.094.966;-68.100.928;Fog;Wet;3;10;Drunk Driving
6c9aa43d;13/07/2023;23:48;Berlin; Germany;-43.879.055;4.481.038;Hail;Snowy;1;1;Drunk Driving
877c877f;4/01/2024;14:01;London; UK;7.966.795;135.617.021;Rain;Under Construction;1;7;Reckless Driving
bfceff6b;13/09/2024;5:34;Toronto; Canada;3.172.679;27.468;Storm;Icy;2;0;Distracted Driving
686ccb95;16/02/2023;15:40;Paris; France;-69.100.883;-150.314.516;Fog;Dry;5;0;Distracted Driving
702231b0;23/03/2024;10:12;London; UK;-9.190.543;113.101.168;Fog;Gravel;4;6;Weather Conditions
f0fc6fdb;25/11/2023;21:38;Mumbai; India;-47.815.377;-134.592.653;Storm;Under Construction;1;1;Weather Conditions
04d99b81;2/11/2024;17:50;Toronto; Canada;-23.590.717;167.692.371;Rain;Wet;4;5;Drunk Driving
08ccdbb1;27/05/2023;2:54;Berlin; Germany;37.875.241;-67.973.198;Rain;Under Construction;5;7;Speeding
40959830;21/05/2023;7:58;Tokyo; Japan;-12.830.078;142.417.863;Hail;Dry;5;8;Speeding
6330df2e;31/03/2024;3:35;Toronto; Canada;65.895.117;-103.307.181;Rain;Dry;1;7;Mechanical Failure
2,99E+05;19/10/2024;12:21;London; UK;44.839.035;94.799.536;Rain;Snowy;3;2;Reckless Driving
7bb12b24;1/03/2024;0:47;New York; USA;-82.273.965;165.994.942;Fog;Icy;2;8;Mechanical Failure
0beb382e;28/12/2024;12:33;Tokyo; Japan;21.163.792;-167.579.057;Rain;Dry;2;1;Mechanical Failure
8ba8bb10;19/09/2023;20:07;Berlin; Germany;-62.619.404;-16.603.545;Clear;Dry;2;5;Drunk Driving
e7285813;8/04/2024;3:24;Sydney; Australia;75.639.194;150.703.988;Hail;Icy;1;0;Distracted Driving
cf6d006e;17/08/2024;18:17;Sydney; Australia;-12.967.622;-20.329.069;Fog;Under Construction;2;2;Weather Conditions
7c8b8b5e;18/01/2024;10:03;Paris; France;-1.793.914;16.667.398;Rain;Dry;5;2;Speeding
d5887326;10/06/2023;11:51;Tokyo; Japan;-63.485.464;-25.197.921;Snow;Under Construction;5;4;Mechanical Failure
6fbb5fae;19/12/2023;7:11;London; UK;84.899.273;13.586.156;Clear;Under Construction;5;4;Drunk Driving
7db42de7;23/09/2023;11:24;Beijing; China;-86.696.521;-9.331.524;Hail;Wet;5;3;Distracted Driving
7cebabc1;28/01/2023;7:08;Tokyo; Japan;38.430.335;12.747.473;Fog;Snowy;4;7;Reckless Driving
1fc7cf47;6/06/2023;10:49;Berlin; Germany;-88.397.711;-43.431.401;Snow;Under Construction;5;3;Mechanical Failure
1104b624;2/08/2024;15:17;Mumbai; India;-64.998.408;-35.770.699;Storm;Snowy;2;9;Weather Conditions
5bc55d57;19/12/2024;20:40;Mumbai; India;-30.971.714;-62.144.007;Storm;Icy;5;0;Reckless Driving
5f7feb90;27/01/2024;10:30;Mumbai; India;82.525.505;21.381.936;Rain;Under Construction;1;9;Drunk Driving
a3d73685;26/03/2023;0:15;Paris; France;7.672.813;-48.893.114;Rain;Dry;4;4;Speeding
21508715;21/05/2024;0:13;Beijing; China;-8.078.617;157.151.959;Hail;Under Construction;3;7;Speeding
a5586471;6/03/2024;1:51;Tokyo; Japan;24.589.697;-60.756.785;Hail;Icy;5;7;Distracted Driving
6eeb186e;22/07/2024;8:16;Mumbai; India;38.556.986;-97.877.234;Clear;Snowy;1;4;Drunk Driving
62079a75;23/07/2023;20:02;London; UK;19.052.872;161.794.617;Hail;Wet;5;6;Speeding
e6346b59;9/02/2023;1:08;Toronto; Canada;61.926.001;77.181.897;Fog;Wet;5;2;Drunk Driving
f05a57ef;29/05/2023;14:49;Berlin; Germany;-5.120.244;154.208.471;Rain;Dry;1;4;Drunk Driving
240f5538;11/11/2024;18:04;London; UK;7.669.148;160.785.364;Storm;Gravel;3;3;Reckless Driving
6b29b247;12/01/2023;16:39;Sydney; Australia;68.680.512;7.024.427;Fog;Icy;1;3;Distracted Driving
aefd4146;30/06/2023;13:24;Beijing; China;-481.321;91.306.104;Clear;Icy;1;5;Speeding
8eeafec3;15/10/2023;16:44;São Paulo; Brazil;-301.632;90.523.015;Fog;Under Construction;3;1;Distracted Driving
fa974c95;21/11/2024;15:11;Tokyo; Japan;-42.674.752;-124.926.834;Snow;Dry;3;7;Weather Conditions
e5813289;29/06/2023;19:05;Paris; France;6.024.993;43.578.357;Fog;Snowy;3;0;Weather Conditions
30134ba4;17/09/2023;1:47;New York; USA;45.844.524;-30.498.925;Clear;Under Construction;2;3;Weather Conditions
4d8257a5;23/08/2024;17:49;Toronto; Canada;63.200.033;-129.556.052;Hail;Icy;5;10;Speeding
9f1a29a6;2/07/2024;2:42;New York; USA;73.965.241;146.533.872;Fog;Under Construction;3;5;Weather Conditions
3786ee33;20/11/2024;15:05;São Paulo; Brazil;60.220.375;60.184.928;Hail;Wet;5;2;Weather Conditions
9d7869ef;21/11/2024;12:36;Tokyo; Japan;51.305.166;111.210.333;Hail;Gravel;1;5;Speeding
af7e31b7;19/12/2023;12:56;New York; USA;-4.956.673;91.758.776;Rain;Wet;3;3;Drunk Driving
0e415468;8/01/2023;0:51;Beijing; China;-51.696.785;-112.470.271;Hail;Gravel;2;8;Drunk Driving
e9abd5a1;15/12/2023;5:55;Tokyo; Japan;16.709.804;-57.530.624;Fog;Wet;3;0;Speeding
4960d7ae;11/09/2023;15:01;Beijing; China;15.075.423;-37.875.767;Snow;Snowy;1;9;Weather Conditions
b49b6b5a;10/06/2024;11:19;Sydney; Australia;46.673.391;-86.651.673;Rain;Dry;1;8;Reckless Driving
80810428;27/09/2023;0:40;Sydney; Australia;4.515.023;106.443.827;Rain;Wet;1;10;Drunk Driving
